# x	y	u	v	mask
  0.2072	  4.7244	  2.2854	 -2.0593	  0.0000
  0.4559	  4.7244	  1.9929	 -1.9751	  0.0000
  0.7045	  4.7244	  1.9927	 -1.9948	  0.0000
  0.9532	  4.7244	  2.0322	 -2.0173	  0.0000
  1.2018	  4.7244	  2.0635	 -1.9981	  0.0000
  1.4505	  4.7244	  1.9759	 -1.9957	  0.0000
  1.6991	  4.7244	  2.2584	 -2.0313	  0.0000
  1.9478	  4.7244	  0.0691	 -0.0950	  0.0000
  2.1964	  4.7244	  0.0406	 -0.0837	  0.0000
  2.4451	  4.7244	  1.9437	 -2.0072	  0.0000
  2.6937	  4.7244	  0.0364	 -0.1068	  0.0000
  2.9424	  4.7244	  0.0018	 -0.0783	  0.0000
  3.1910	  4.7244	  2.0478	 -1.9776	  0.0000
  3.4397	  4.7244	  0.0343	 -0.0632	  0.0000
  3.6884	  4.7244	  0.0904	 -0.1671	  0.0000
  3.9370	  4.7244	 -0.1034	 -1.9404	  0.0000
  4.1857	  4.7244	 -6.7708	 -2.0827	  0.0000
  4.4343	  4.7244	 -0.0757	 -0.1796	  0.0000
  4.6830	  4.7244	 -2.0967	 -1.9930	  0.0000
  4.9316	  4.7244	 -3.1948	 -1.9667	  0.0000
  5.1803	  4.7244	 -2.0513	 -2.0003	  0.0000
  5.4289	  4.7244	 -2.0649	 -1.9763	  0.0000
  5.6776	  4.7244	 -2.0329	 -2.0117	  0.0000
  5.9262	  4.7244	 -1.9814	 -1.9801	  0.0000
  6.1749	  4.7244	 -2.0672	 -2.0379	  0.0000
  6.4235	  4.7244	 -1.8563	 -2.2462	  0.0000
  0.2072	  4.4758	  1.9812	 -1.9807	  0.0000
  0.4559	  4.4758	  2.0499	 -0.2220	  0.0000
  0.7045	  4.4758	  1.9854	 -0.0909	  0.0000
  0.9532	  4.4758	  2.0244	 -0.5236	  0.0000
  1.2018	  4.4758	  1.9906	 -1.2617	  0.0000
  1.4505	  4.4758	  0.1149	 -0.0836	  0.0000
  1.6991	  4.4758	  0.7828	 -0.3402	  1.0000
  1.9478	  4.4758	  0.0223	 -0.0767	  0.0000
  2.1964	  4.4758	  0.0174	 -0.0570	  0.0000
  2.4451	  4.4758	  0.0007	 -0.0334	  0.0000
  2.6937	  4.4758	  0.0071	 -0.0240	  0.0000
  2.9424	  4.4758	 -0.0158	 -0.0120	  0.0000
  3.1910	  4.4758	  0.0171	 -0.0153	  0.0000
  3.4397	  4.4758	  0.0156	 -0.0010	  0.0000
  3.6884	  4.4758	 -0.0049	 -0.0802	  0.0000
  3.9370	  4.4758	 -0.0077	 -0.0794	  0.0000
  4.1857	  4.4758	 -0.0004	 -0.0447	  0.0000
  4.4343	  4.4758	 -0.0155	 -0.0517	  0.0000
  4.6830	  4.4758	 -0.0618	 -0.0389	  0.0000
  4.9316	  4.4758	 -0.0378	 -0.0406	  0.0000
  5.1803	  4.4758	 -0.1569	 -0.0321	  0.0000
  5.4289	  4.4758	 -0.1535	 -0.0977	  0.0000
  5.6776	  4.4758	 -2.0348	 -1.9439	  0.0000
  5.9262	  4.4758	 -2.0194	 -2.0120	  0.0000
  6.1749	  4.4758	 -2.0141	 -2.0025	  0.0000
  6.4235	  4.4758	 -2.0711	 -2.0364	  0.0000
  0.2072	  4.2271	  2.0482	 -2.0214	  0.0000
  0.4559	  4.2271	  2.0249	 -0.2598	  0.0000
  0.7045	  4.2271	  2.0272	  0.3628	  0.0000
  0.9532	  4.2271	  2.1148	  0.7925	  0.0000
  1.2018	  4.2271	  2.0202	  0.1922	  0.0000
  1.4505	  4.2271	  2.0472	  0.5438	  0.0000
  1.6991	  4.2271	  0.1748	  0.1509	  0.0000
  1.9478	  4.2271	  2.0315	  0.4296	  0.0000
  2.1964	  4.2271	  0.1038	  0.1108	  0.0000
  2.4451	  4.2271	  0.0753	  0.1200	  0.0000
  2.6937	  4.2271	 -0.0007	  0.0822	  0.0000
  2.9424	  4.2271	 -0.0257	  0.0473	  0.0000
  3.1910	  4.2271	  0.0171	  0.0704	  0.0000
  3.4397	  4.2271	  0.0213	  0.0580	  0.0000
  3.6884	  4.2271	  0.0045	  0.0524	  0.0000
  3.9370	  4.2271	  0.0029	  0.0438	  0.0000
  4.1857	  4.2271	  0.0194	  0.0338	  0.0000
  4.4343	  4.2271	 -0.7231	 -0.2445	  1.0000
  4.6830	  4.2271	 -0.0294	  0.0179	  0.0000
  4.9316	  4.2271	 -0.0682	  0.0292	  0.0000
  5.1803	  4.2271	 -0.0452	  0.0101	  0.0000
  5.4289	  4.2271	 -0.1258	 -0.0435	  0.0000
  5.6776	  4.2271	 -0.1431	 -0.0424	  0.0000
  5.9262	  4.2271	 -2.0477	 -0.9066	  0.0000
  6.1749	  4.2271	 -1.9860	 -1.3879	  0.0000
  6.4235	  4.2271	 -2.0297	 -1.9387	  0.0000
  0.2072	  3.9785	  1.9785	 -1.9639	  0.0000
  0.4559	  3.9785	  2.0055	 -1.9982	  0.0000
  0.7045	  3.9785	  1.8952	 -2.0025	  0.0000
  0.9532	  3.9785	 -0.4295	 -1.8738	  0.0000
  1.2018	  3.9785	  0.0722	 -0.1205	  0.0000
  1.4505	  3.9785	 -0.0474	 -0.1598	  0.0000
  1.6991	  3.9785	 -0.1596	  0.0100	  0.0000
  1.9478	  3.9785	  0.2363	  0.3649	  0.0000
  2.1964	  3.9785	 -0.1579	 -0.3038	  0.0000
  2.4451	  3.9785	 -0.1907	 -0.2013	  0.0000
  2.6937	  3.9785	  0.0302	  0.0109	  0.0000
  2.9424	  3.9785	 -0.0997	  0.0294	  0.0000
  3.1910	  3.9785	  4.5846	  1.9547	  0.0000
  3.4397	  3.9785	  1.5132	  1.8241	  0.0000
  3.6884	  3.9785	  0.0870	  1.3427	  0.0000
  3.9370	  3.9785	  0.0287	  0.6227	  0.0000
  4.1857	  3.9785	 -0.1360	  0.0418	  1.0000
  4.4343	  3.9785	 -0.2510	  0.0678	  1.0000
  4.6830	  3.9785	 -0.5931	  1.8685	  0.0000
  4.9316	  3.9785	 -2.4763	  1.8704	  0.0000
  5.1803	  3.9785	 -0.0408	  0.2103	  0.0000
  5.4289	  3.9785	 -2.0613	  0.6666	  0.0000
  5.6776	  3.9785	 -2.0602	  0.6431	  0.0000
  5.9262	  3.9785	 -2.1034	  0.6904	  0.0000
  6.1749	  3.9785	 -1.9706	  0.1143	  0.0000
  6.4235	  3.9785	 -2.0071	 -0.1661	  0.0000
  0.2072	  3.7298	  1.9579	 -1.9335	  0.0000
  0.4559	  3.7298	  1.2111	 -1.8442	  0.0000
  0.7045	  3.7298	 -1.8963	 -1.8376	  0.0000
  0.9532	  3.7298	  1.9218	 -1.8525	  0.0000
