# x	y	u	v	mask
  0.1658	  4.8073	 -0.0902	 -0.0000	  0.0000
  0.3315	  4.8073	  0.1139	 -0.0918	  0.0000
  0.4973	  4.8073	  0.0014	 -0.0132	  0.0000
  0.6631	  4.8073	 -0.0102	  0.0077	  0.0000
  0.8288	  4.8073	 -0.0025	 -0.0018	  0.0000
  0.9946	  4.8073	  0.0078	 -0.0054	  0.0000
  1.1604	  4.8073	  0.0071	  0.0067	  0.0000
  1.3262	  4.8073	  0.0288	  0.0076	  0.0000
  1.4919	  4.8073	  0.0141	  0.0085	  0.0000
  1.6577	  4.8073	 -0.0188	 -0.0076	  0.0000
  1.8235	  4.8073	 -0.0072	 -0.0038	  0.0000
  1.9892	  4.8073	 -0.0037	  0.0115	  0.0000
  2.1550	  4.8073	 -0.0001	  0.0097	  0.0000
  2.3208	  4.8073	 -0.0010	  0.0097	  0.0000
  2.4865	  4.8073	 -0.0015	 -0.0003	  0.0000
  2.6523	  4.8073	  0.0032	 -0.0008	  0.0000
  2.8181	  4.8073	 -0.0000	 -0.0009	  0.0000
  2.9838	  4.8073	  0.0084	 -0.0006	  0.0000
  3.1496	  4.8073	  0.0066	  0.0057	  0.0000
  3.3154	  4.8073	  0.0055	  0.0079	  0.0000
  3.4811	  4.8073	  0.0014	  0.0015	  1.0000
  3.6469	  4.8073	  0.0004	  0.0024	  1.0000
  3.8127	  4.8073	  0.0020	  0.0070	  0.0000
  3.9785	  4.8073	  0.0021	  0.0017	  0.0000
  4.1442	  4.8073	 -0.0067	  0.0006	  0.0000
  4.3100	  4.8073	 -0.0040	  0.0047	  0.0000
  4.4758	  4.8073	  0.0148	  0.0015	  0.0000
  4.6415	  4.8073	  0.0105	 -0.0087	  0.0000
  4.8073	  4.8073	  0.0116	 -0.0027	  0.0000
  4.9731	  4.8073	  0.0107	 -0.0027	  0.0000
  5.1388	  4.8073	  0.0134	 -0.0027	  0.0000
  5.3046	  4.8073	  0.0029	  0.0019	  0.0000
  5.4704	  4.8073	 -0.0023	  0.0076	  0.0000
  5.6361	  4.8073	  0.0004	 -0.0036	  0.0000
  5.8019	  4.8073	  0.0005	  0.0025	  0.0000
  5.9677	  4.8073	 -0.0242	  0.0091	  0.0000
  6.1334	  4.8073	 -0.0918	 -0.0091	  0.0000
  6.2992	  4.8073	  4.1743	  0.2219	  0.0000
  6.4650	  4.8073	 -0.0977	 -0.3708	  0.0000
  0.1658	  4.6415	  0.0332	 -0.0081	  0.0000
  0.3315	  4.6415	  0.0153	 -0.0148	  0.0000
  0.4973	  4.6415	  0.0192	 -0.0155	  0.0000
  0.6631	  4.6415	  0.0037	 -0.0073	  0.0000
  0.8288	  4.6415	 -0.0071	  0.0042	  0.0000
  0.9946	  4.6415	 -0.0022	  0.0047	  0.0000
  1.1604	  4.6415	  0.0282	 -0.0124	  0.0000
  1.3262	  4.6415	  0.0101	 -0.0101	  0.0000
  1.4919	  4.6415	 -0.0089	  0.0070	  0.0000
  1.6577	  4.6415	 -0.0143	  0.0095	  0.0000
  1.8235	  4.6415	 -0.0078	 -0.0014	  0.0000
  1.9892	  4.6415	  0.0036	  0.0002	  0.0000
  2.1550	  4.6415	  0.0087	  0.0065	  0.0000
  2.3208	  4.6415	 -0.0036	  0.0038	  1.0000
  2.4865	  4.6415	 -0.0066	  0.0040	  0.0000
  2.6523	  4.6415	  0.0061	  0.0028	  0.0000
  2.8181	  4.6415	  0.0096	 -0.0019	  0.0000
  2.9838	  4.6415	  0.0073	 -0.0012	  0.0000
  3.1496	  4.6415	  0.0006	 -0.0093	  0.0000
  3.3154	  4.6415	  0.0054	 -0.0031	  0.0000
  3.4811	  4.6415	  0.0073	  0.0022	  0.0000
  3.6469	  4.6415	 -0.0014	  0.0021	  0.0000
  3.8127	  4.6415	 -0.0031	  0.0024	  0.0000
  3.9785	  4.6415	 -0.0025	  0.0012	  0.0000
  4.1442	  4.6415	  0.0034	 -0.0064	  0.0000
  4.3100	  4.6415	 -0.0026	 -0.0031	  0.0000
  4.4758	  4.6415	 -0.0037	 -0.0020	  0.0000
  4.6415	  4.6415	 -0.0090	 -0.0081	  0.0000
  4.8073	  4.6415	 -0.0025	 -0.0062	  0.0000
