# x	y	u	v	mask
  0.1658	  4.8073	  0.0057	  0.0458	  0.0000
  0.3315	  4.8073	  0.0003	  0.0297	  0.0000
  0.4973	  4.8073	  0.0035	  0.0255	  0.0000
  0.6631	  4.8073	  0.0020	  0.0183	  0.0000
  0.8288	  4.8073	  0.0083	  0.0127	  0.0000
  0.9946	  4.8073	  0.0118	  0.0042	  0.0000
  1.1604	  4.8073	  0.0135	  0.0030	  0.0000
  1.3262	  4.8073	  0.0439	  0.0178	  0.0000
  1.4919	  4.8073	  0.0189	  0.0207	  0.0000
  1.6577	  4.8073	 -0.0269	 -0.0140	  0.0000
  1.8235	  4.8073	 -0.0086	 -0.0038	  0.0000
  1.9892	  4.8073	 -0.0067	  0.0125	  0.0000
  2.1550	  4.8073	  0.0025	  0.0098	  0.0000
  2.3208	  4.8073	 -0.0015	  0.0097	  0.0000
  2.4865	  4.8073	  0.0025	 -0.0003	  0.0000
  2.6523	  4.8073	  0.0042	 -0.0008	  0.0000
  2.8181	  4.8073	  0.0005	 -0.0009	  0.0000
  2.9838	  4.8073	  0.0081	 -0.0006	  0.0000
  3.1496	  4.8073	  0.0087	  0.0058	  0.0000
  3.3154	  4.8073	  0.0038	  0.0079	  0.0000
  3.4811	  4.8073	  0.0065	  0.0079	  0.0000
  3.6469	  4.8073	  0.0017	  0.0067	  0.0000
  3.8127	  4.8073	  0.0016	  0.0046	  0.0000
  3.9785	  4.8073	  0.0014	 -0.0004	  0.0000
  4.1442	  4.8073	 -0.0016	  0.0006	  0.0000
  4.3100	  4.8073	 -0.0018	  0.0045	  0.0000
  4.4758	  4.8073	  0.0094	  0.0024	  0.0000
  4.6415	  4.8073	  0.0087	 -0.0100	  0.0000
  4.8073	  4.8073	  0.0143	 -0.0045	  0.0000
  4.9731	  4.8073	  0.0218	 -0.0020	  0.0000
  5.1388	  4.8073	  0.0121	 -0.0052	  0.0000
  5.3046	  4.8073	  0.0355	 -0.0066	  0.0000
  5.4704	  4.8073	  0.0745	 -0.0355	  0.0000
  5.6361	  4.8073	  0.0024	 -0.0124	  0.0000
  5.8019	  4.8073	 -0.0032	 -0.0135	  0.0000
  5.9677	  4.8073	 -0.0065	 -0.0099	  0.0000
  6.1334	  4.8073	 -0.0104	 -0.0081	  0.0000
  6.2992	  4.8073	 -0.0089	 -0.0058	  0.0000
  6.4650	  4.8073	 -0.0111	 -0.0048	  0.0000
  0.1658	  4.6415	  0.0057	  0.0458	  0.0000
  0.3315	  4.6415	  0.0004	  0.0298	  0.0000
  0.4973	  4.6415	  0.0032	  0.0280	  0.0000
  0.6631	  4.6415	  0.0014	  0.0199	  0.0000
  0.8288	  4.6415	  0.0071	  0.0147	  0.0000
  0.9946	  4.6415	 -0.0130	  0.0008	  0.0000
  1.1604	  4.6415	  0.0606	 -0.0339	  0.0000
  1.3262	  4.6415	  0.0139	 -0.0125	  0.0000
  1.4919	  4.6415	 -0.0094	  0.0084	  0.0000
  1.6577	  4.6415	 -0.0099	  0.0102	  0.0000
  1.8235	  4.6415	 -0.0055	 -0.0013	  0.0000
  1.9892	  4.6415	  0.0047	  0.0010	  0.0000
  2.1550	  4.6415	  0.0099	  0.0066	  0.0000
  2.3208	  4.6415	 -0.0022	  0.0043	  0.0000
  2.4865	  4.6415	 -0.0073	  0.0047	  0.0000
  2.6523	  4.6415	  0.0059	  0.0027	  0.0000
  2.8181	  4.6415	  0.0101	 -0.0012	  0.0000
  2.9838	  4.6415	  0.0088	 -0.0001	  0.0000
  3.1496	  4.6415	  0.0004	 -0.0091	  0.0000
  3.3154	  4.6415	  0.0020	 -0.0031	  0.0000
  3.4811	  4.6415	  0.0091	  0.0020	  0.0000
  3.6469	  4.6415	 -0.0023	  0.0019	  0.0000
  3.8127	  4.6415	 -0.0031	  0.0036	  0.0000
  3.9785	  4.6415	 -0.0021	  0.0022	  0.0000
  4.1442	  4.6415	  0.0046	 -0.0064	  0.0000
  4.3100	  4.6415	 -0.0014	 -0.0033	  0.0000
  4.4758	  4.6415	 -0.0033	 -0.0024	  0.0000
  4.6415	  4.6415	 -0.0035	 -0.0081	  0.0000
  4.8073	  4.6415	 -0.0011	 -0.0069	  0.0000
  4.9731	  4.6415	  0.0030	 -0.0015	  0.0000
  5.1388	  4.6415	  0.0007	  0.0049	  0.0000
  5.3046	  4.6415	 -0.0057	  0.0014	  0.0000
  5.4704	  4.6415	 -0.0479	 -0.0237	  0.0000
  5.6361	  4.6415	  0.0271	 -0.0652	  0.0000
  5.8019	  4.6415	 -0.0035	 -0.0089	  0.0000
  5.9677	  4.6415	 -0.0077	 -0.0069	  0.0000
  6.1334	  4.6415	 -0.0142	 -0.0056	  0.0000
  6.2992	  4.6415	 -0.0141	 -0.0035	  0.0000
  6.4650	  4.6415	 -0.0163	 -0.0051	  0.0000
  0.1658	  4.4758	 -0.0008	  0.0178	  0.0000
  0.3315	  4.4758	 -0.0068	  0.0147	  0.0000
  0.4973	  4.4758	 -0.0053	  0.0166	  0.0000
  0.6631	  4.4758	 -0.0030	  0.0155	  0.0000
  0.8288	  4.4758	  0.0057	  0.0458	  0.0000
  0.9946	  4.4758	 -0.0115	 -0.0122	  0.0000
  1.1604	  4.4758	  0.0262	  0.0007	  0.0000
  1.3262	  4.4758	  0.0109	  0.0056	  0.0000
  1.4919	  4.4758	  0.0023	 -0.0063	  0.0000
  1.6577	  4.4758	  0.0003	  0.0105	  0.0000
  1.8235	  4.4758	 -0.0114	 -0.0027	  0.0000
  1.9892	  4.4758	 -0.0225	  0.0037	  0.0000
  2.1550	  4.4758	 -0.0092	  0.0045	  0.0000
  2.3208	  4.4758	 -0.0009	  0.0038	  0.0000
  2.4865	  4.4758	 -0.0171	  0.0016	  0.0000
  2.6523	  4.4758	  0.0002	  0.0015	  0.0000
  2.8181	  4.4758	  0.0008	  0.0023	  0.0000
  2.9838	  4.4758	  0.0027	 -0.0023	  0.0000
  3.1496	  4.4758	  0.0031	 -0.0055	  0.0000
  3.3154	  4.4758	  0.0021	  0.0009	  0.0000
  3.4811	  4.4758	 -0.0020	 -0.0008	  0.0000
  3.6469	  4.4758	 -0.0015	 -0.0010	  0.0000
  3.8127	  4.4758	 -0.0059	  0.0033	  0.0000
  3.9785	  4.4758	 -0.0024	  0.0033	  0.0000
