# x	y	u	v	mask
  0.2072	  4.7244	  2.2843	 -2.0867	  0.0000
  0.4559	  4.7244	  1.9929	 -1.9767	  0.0000
  0.7045	  4.7244	  2.0050	 -2.0139	  0.0000
  0.9532	  4.7244	  2.0214	 -2.0320	  0.0000
  1.2018	  4.7244	  2.0549	 -2.0133	  0.0000
  1.4505	  4.7244	  1.9569	 -2.0312	  0.0000
  1.6991	  4.7244	  2.2914	 -2.0282	  0.0000
  1.9478	  4.7244	  0.0780	 -0.0721	  0.0000
  2.1964	  4.7244	  0.0427	 -0.0793	  0.0000
  2.4451	  4.7244	  1.8768	 -1.9900	  0.0000
  2.6937	  4.7244	  0.0463	 -0.0972	  0.0000
  2.9424	  4.7244	 -0.0003	 -0.0736	  0.0000
  3.1910	  4.7244	  2.0734	 -2.0111	  0.0000
  3.4397	  4.7244	  0.0383	 -0.0456	  0.0000
  3.6884	  4.7244	  0.1420	 -0.3135	  1.0000
  3.9370	  4.7244	 -0.1126	 -1.9389	  0.0000
  4.1857	  4.7244	 -0.0575	 -0.1766	  0.0000
  4.4343	  4.7244	 -0.0553	 -0.2000	  0.0000
  4.6830	  4.7244	 -2.1146	 -2.0244	  0.0000
  4.9316	  4.7244	  0.5598	 -1.9110	  0.0000
  5.1803	  4.7244	 -2.0613	 -2.0148	  0.0000
  5.4289	  4.7244	 -2.0522	 -1.9806	  0.0000
  5.6776	  4.7244	 -2.0324	 -2.0226	  0.0000
  5.9262	  4.7244	 -1.9805	 -1.9877	  0.0000
  6.1749	  4.7244	 -2.0494	 -2.0411	  0.0000
  6.4235	  4.7244	 -1.8888	 -2.2655	  0.0000
  0.2072	  4.4758	  1.9761	 -1.9927	  0.0000
  0.4559	  4.4758	  2.0685	 -0.0701	  0.0000
  0.7045	  4.4758	  1.9772	 -0.1257	  0.0000
  0.9532	  4.4758	  2.0687	 -0.5137	  0.0000
  1.2018	  4.4758	  1.9813	 -1.1869	  0.0000
  1.4505	  4.4758	  0.1155	 -0.0777	  0.0000
  1.6991	  4.4758	  0.1203	 -0.0765	  0.0000
  1.9478	  4.4758	  0.0138	 -0.0679	  0.0000
  2.1964	  4.4758	  0.0155	 -0.0557	  0.0000
  2.4451	  4.4758	  0.0013	 -0.0366	  0.0000
  2.6937	  4.4758	  0.0126	 -0.0187	  0.0000
  2.9424	  4.4758	 -0.0186	 -0.0079	  0.0000
  3.1910	  4.4758	  0.0206	 -0.0068	  0.0000
  3.4397	  4.4758	  0.0144	  0.0008	  0.0000
  3.6884	  4.4758	 -0.0054	 -0.1465	  0.0000
  3.9370	  4.4758	 -0.0061	 -0.1441	  0.0000
  4.1857	  4.4758	 -0.0033	 -0.0476	  0.0000
  4.4343	  4.4758	 -0.0204	 -0.0579	  0.0000
  4.6830	  4.4758	 -0.0724	 -0.0373	  0.0000
  4.9316	  4.4758	 -0.0350	 -0.0257	  0.0000
  5.1803	  4.4758	 -0.1715	 -0.0140	  0.0000
  5.4289	  4.4758	 -0.1224	 -0.0854	  0.0000
  5.6776	  4.4758	 -2.0601	 -1.9298	  0.0000
  5.9262	  4.4758	 -2.0332	 -2.0291	  0.0000
  6.1749	  4.4758	 -2.0327	 -2.0247	  0.0000
  6.4235	  4.4758	 -2.0754	 -2.0439	  0.0000
  0.2072	  4.2271	  2.0638	 -2.0518	  0.0000
  0.4559	  4.2271	  2.0412	 -0.2105	  0.0000
  0.7045	  4.2271	  2.0385	  0.3611	  0.0000
  0.9532	  4.2271	  2.0813	  0.7468	  0.0000
  1.2018	  4.2271	  0.2400	  0.0757	  0.0000
  1.4505	  4.2271	  0.1319	  0.1225	  0.0000
  1.6991	  4.2271	  0.1306	  0.1016	  0.0000
  1.9478	  4.2271	  0.1377	  0.0764	  0.0000
  2.1964	  4.2271	  0.0725	  0.0514	  0.0000
  2.4451	  4.2271	  0.0448	  0.0587	  0.0000
  2.6937	  4.2271	  0.0021	  0.0251	  0.0000
  2.9424	  4.2271	 -0.0233	  0.0154	  0.0000
  3.1910	  4.2271	  0.0113	  0.0378	  0.0000
  3.4397	  4.2271	  0.0080	  0.0234	  0.0000
  3.6884	  4.2271	 -0.0018	  0.0302	  0.0000
  3.9370	  4.2271	 -0.0029	  0.0293	  0.0000
  4.1857	  4.2271	  0.0117	  0.0069	  0.0000
  4.4343	  4.2271	 -0.0365	 -0.0024	  0.0000
  4.6830	  4.2271	 -0.0363	  0.0090	  0.0000
  4.9316	  4.2271	 -0.0621	  0.0183	  0.0000
  5.1803	  4.2271	 -0.0409	  0.0145	  0.0000
  5.4289	  4.2271	 -0.1362	 -0.0471	  0.0000
  5.6776	  4.2271	 -0.1204	 -0.0364	  0.0000
  5.9262	  4.2271	 -2.0800	 -0.7842	  0.0000
  6.1749	  4.2271	 -1.9963	 -1.3151	  0.0000
  6.4235	  4.2271	 -2.0421	 -1.9405	  0.0000
  0.2072	  3.9785	  1.9938	 -1.9915	  0.0000
  0.4559	  3.9785	  2.0338	 -2.0092	  0.0000
  0.7045	  3.9785	  1.8674	 -2.0124	  0.0000
  0.9532	  3.9785	 -0.5921	 -1.8790	  0.0000
  1.2018	  3.9785	  0.0645	 -0.0970	  0.0000
  1.4505	  3.9785	 -0.0489	 -0.1621	  0.0000
  1.6991	  3.9785	 -0.1599	  0.0088	  0.0000
  1.9478	  3.9785	  0.1014	  0.4180	  0.0000
  2.1964	  3.9785	 -0.1753	 -0.2846	  0.0000
  2.4451	  3.9785	 -0.1675	 -0.1992	  0.0000
  2.6937	  3.9785	  0.0186	  0.0091	  0.0000
  2.9424	  3.9785	 -0.1100	  0.0150	  0.0000
  3.1910	  3.9785	 -0.2244	  2.0922	  0.0000
  3.4397	  3.9785	  1.4668	  1.8204	  0.0000
  3.6884	  3.9785	  0.0829	  1.4253	  0.0000
  3.9370	  3.9785	  0.0286	  0.5838	  0.0000
  4.1857	  3.9785	  1.9067	  1.9113	  0.0000
  4.4343	  3.9785	  0.4619	  1.9831	  0.0000
  4.6830	  3.9785	 -0.6116	  1.8585	  0.0000
  4.9316	  3.9785	 -1.9827	  1.8423	  0.0000
  5.1803	  3.9785	 -0.0428	  0.1777	  0.0000
  5.4289	  3.9785	 -1.9783	  0.6094	  0.0000
  5.6776	  3.9785	 -0.1912	  0.1003	  0.0000
